employee_id,quarter,performance_score,target_score,projects_completed,training_hours,achievement_status
E1010,Q2,88.0,76.8,4,5.5,Met
E1010,Q3,77.6,82.1,6,2.9,Needs Improvement
E1010,Q4,82.9,78.6,6,10.2,Met
E1011,Q1,74.3,87.4,4,8.1,Needs Improvement
E1011,Q2,76.6,78.1,5,11.8,Needs Improvement
E1011,Q3,83.0,77.6,4,6.3,Met
E1011,Q4,87.0,79.3,5,2.8,Met
E1012,Q1,81.2,80.4,6,11.6,Met
E1012,Q2,77.2,81.8,7,9.1,Needs Improvement
E1012,Q3,74.2,75.7,6,4.7,Needs Improvement
E1012,Q4,80.7,82.3,7,7.8,Needs Improvement
E1013,Q1,69.5,79.9,5,11.3,Needs Improvement
E1013,Q2,65.6,81.1,4,5.3,Needs Improvement
E1013,Q3,62.9,83.2,6,7.0,Needs Improvement
E1013,Q4,68.9,90.4,5,6.9,Needs Improvement
E1014,Q1,71.8,87.0,7,5.8,Needs Improvement
E1014,Q2,65.9,85.4,7,3.7,Needs Improvement
E1014,Q3,76.8,77.4,7,9.6,Needs Improvement
E1014,Q4,64.0,78.9,5,13.7,Needs Improvement
E1015,Q1,74.4,78.7,6,6.1,Needs Improvement
E1015,Q2,63.2,71.7,8,6.5,Needs Improvement
E1015,Q3,76.5,74.5,8,11.2,Met
E1015,Q4,68.2,79.7,4,8.2,Needs Improvement
E1016,Q1,73.3,78.1,7,11.1,Needs Improvement
E1016,Q2,71.0,85.9,6,6.1,Needs Improvement
E1016,Q3,78.7,80.6,6,5.3,Needs Improvement
E1016,Q4,70.9,72.7,5,11.4,Needs Improvement
E1017,Q1,62.6,79.4,5,9.1,Needs Improvement
E1017,Q2,57.0,84.5,4,7.4,Needs Improvement
E1017,Q3,60.4,74.5,6,5.2,Needs Improvement
E1017,Q4,57.0,77.4,4,6.1,Needs Improvement
E1018,Q1,65.6,81.1,5,9.4,Needs Improvement
E1018,Q2,70.9,80.5,5,7.4,Needs Improvement
E1018,Q3,82.6,79.3,7,8.2,Met
E1018,Q4,76.7,78.1,6,9.1,Needs Improvement
E1019,Q1,69.7,81.6,6,7.2,Needs Improvement
E1019,Q2,65.5,87.2,4,7.0,Needs Improvement
E1019,Q3,81.8,82.0,3,4.6,Needs Improvement
E1019,Q4,76.7,89.1,5,2.8,Needs Improvement
E1020,Q1,61.4,85.4,5,8.6,Needs Improvement
E1020,Q2,73.7,81.8,5,9.0,Needs Improvement
E1020,Q3,74.3,83.0,5,3.2,Needs Improvement
E1020,Q4,73.6,80.9,6,9.2,Needs Improvement
E1021,Q1,63.7,70.8,5,7.4,Needs Improvement
E1021,Q2,54.5,76.5,5,6.8,Needs Improvement
E1021,Q3,67.3,72.2,5,3.6,Needs Improvement
E1021,Q4,60.9,80.9,4,9.5,Needs Improvement
E1022,Q1,77.4,81.0,6,6.8,Needs Improvement
E1022,Q2,84.2,75.5,7,11.1,Met
E1022,Q3,76.6,88.0,5,11.6,Needs Improvement
E1022,Q4,82.4,81.4,5,11.3,Met
E1023,Q1,69.2,78.8,4,12.2,Needs Improvement
E1023,Q2,65.2,80.7,7,5.7,Needs Improvement
E1023,Q3,70.5,78.3,5,5.9,Needs Improvement
E1023,Q4,74.2,81.0,6,8.5,Needs Improvement
E1024,Q1,54.3,80.7,6,7.1,Needs Improvement
E1024,Q2,58.2,85.7,7,11.6,Needs Improvement
E1024,Q3,69.4,69.1,4,5.7,Met
E1024,Q4,72.9,84.3,5,6.1,Needs Improvement
E1025,Q1,75.8,83.2,6,8.9,Needs Improvement
E1025,Q2,73.2,74.5,7,10.4,Needs Improvement
E1025,Q3,77.0,80.5,6,14.0,Needs Improvement
E1025,Q4,77.4,79.7,4,8.4,Needs Improvement
E1026,Q1,62.7,80.7,5,5.5,Needs Improvement
E1026,Q2,72.7,82.2,7,11.9,Needs Improvement
E1026,Q3,82.9,86.9,6,2.1,Needs Improvement
E1026,Q4,75.0,86.0,7,7.7,Needs Improvement
E1027,Q1,68.3,88.1,7,2.5,Needs Improvement
E1027,Q2,70.0,76.7,4,14.1,Needs Improvement
E1027,Q3,73.3,81.4,7,6.0,Needs Improvement
E1027,Q4,69.1,76.0,5,6.3,Needs Improvement
E1028,Q1,67.8,78.2,4,4.3,Needs Improvement
E1028,Q2,70.7,79.4,6,10.2,Needs Improvement
E1028,Q3,83.1,81.2,7,14.5,Met
E1028,Q4,75.7,77.8,7,9.0,Needs Improvement
E1029,Q1,76.5,75.7,4,8.4,Met
E1029,Q2,78.9,81.2,7,3.6,Needs Improvement
E1029,Q3,82.0,77.5,7,5.4,Met
E1029,Q4,84.1,81.4,6,7.7,Met
E1030,Q1,71.9,70.5,6,13.3,Met
E1030,Q2,73.1,82.7,7,1.9,Needs Improvement
E1030,Q3,82.5,76.6,4,5.6,Met
E1030,Q4,79.9,80.7,5,9.7,Needs Improvement
E1031,Q1,74.6,82.2,7,10.1,Needs Improvement
E1031,Q2,78.3,81.5,8,9.7,Needs Improvement
E1031,Q3,87.3,82.3,5,8.0,Met
E1031,Q4,67.7,68.6,8,14.4,Needs Improvement
E1032,Q1,79.8,72.8,5,7.6,Met
E1032,Q2,84.3,78.3,4,12.6,Met
E1032,Q3,73.5,78.6,6,10.6,Needs Improvement
E1032,Q4,84.0,82.3,5,11.9,Met
E1033,Q1,61.0,84.3,4,6.3,Needs Improvement
E1033,Q2,59.4,78.7,6,7.9,Needs Improvement
E1033,Q3,73.6,80.1,5,9.3,Needs Improvement
E1033,Q4,73.8,83.7,7,7.8,Needs Improvement
E1034,Q1,63.8,85.3,6,7.8,Needs Improvement
E1034,Q2,55.4,75.9,5,9.4,Needs Improvement
E1034,Q3,60.8,79.1,5,6.4,Needs Improvement
E1034,Q4,55.9,78.6,5,5.0,Needs Improvement
E1035,Q1,71.0,75.8,7,6.6,Needs Improvement
E1035,Q2,87.0,79.5,7,9.0,Met
E1035,Q3,85.5,79.7,5,12.9,Met
E1035,Q4,84.8,86.8,7,12.9,Needs Improvement
E1036,Q1,49.6,78.3,6,9.2,Needs Improvement
E1036,Q2,58.5,83.0,6,7.8,Needs Improvement
E1036,Q3,73.1,73.2,6,12.3,Needs Improvement
E1036,Q4,55.6,79.7,5,0.1,Needs Improvement
E1037,Q1,83.7,76.7,5,5.0,Met
E1037,Q2,77.1,86.0,6,13.4,Needs Improvement
E1037,Q3,80.8,83.3,5,13.3,Needs Improvement
E1037,Q4,79.2,82.5,7,10.4,Needs Improvement
E1038,Q1,61.1,77.0,7,9.9,Needs Improvement
E1038,Q2,70.1,90.2,5,9.7,Needs Improvement
E1038,Q3,77.2,72.1,4,8.1,Met
E1038,Q4,75.1,86.4,6,2.6,Needs Improvement
E1039,Q1,57.0,78.1,4,6.7,Needs Improvement
E1039,Q2,77.0,84.1,6,6.6,Needs Improvement
E1039,Q3,70.1,79.1,7,10.0,Needs Improvement
E1039,Q4,72.4,76.1,6,7.7,Needs Improvement
E1040,Q1,78.6,74.6,4,5.6,Met
E1040,Q2,88.4,77.3,7,10.3,Met
E1040,Q3,78.0,85.0,7,15.0,Needs Improvement
E1040,Q4,92.4,86.0,6,14.0,Met
E1041,Q1,75.5,81.5,5,6.4,Needs Improvement
E1041,Q2,82.8,77.2,7,9.1,Met
E1041,Q3,82.3,85.9,7,8.7,Needs Improvement
E1041,Q4,81.7,74.8,7,3.5,Met
E1042,Q1,77.2,82.5,7,11.8,Needs Improvement
E1042,Q2,91.6,81.5,6,6.4,Met
E1042,Q3,85.4,73.5,5,10.0,Met
E1042,Q4,87.0,69.0,5,12.1,Met
E1043,Q1,68.0,76.3,4,6.9,Needs Improvement
E1043,Q2,64.8,81.0,7,13.8,Needs Improvement
E1043,Q3,72.4,79.4,7,6.1,Needs Improvement
E1043,Q4,74.8,80.1,5,2.3,Needs Improvement
E1044,Q1,68.5,80.1,5,11.7,Needs Improvement
E1044,Q2,72.3,83.7,6,1.3,Needs Improvement
E1044,Q3,63.4,82.6,5,9.1,Needs Improvement
E1044,Q4,70.9,83.3,8,11.5,Needs Improvement
E1045,Q1,73.9,76.9,7,8.5,Needs Improvement
E1045,Q2,76.4,76.9,3,5.5,Needs Improvement
E1045,Q3,70.4,83.7,7,7.2,Needs Improvement
E1045,Q4,74.7,86.1,8,6.4,Needs Improvement
E1046,Q1,67.0,73.1,6,5.1,Needs Improvement
E1046,Q2,64.5,80.2,7,12.6,Needs Improvement
E1046,Q3,61.4,81.4,5,10.9,Needs Improvement
E1046,Q4,64.3,79.0,7,6.6,Needs Improvement
E1047,Q1,73.5,73.1,5,9.5,Met
E1047,Q2,82.5,80.1,7,0.0,Met
E1047,Q3,84.4,83.9,6,3.4,Met
E1047,Q4,84.7,78.3,5,7.2,Met
E1048,Q1,79.3,75.1,7,9.3,Met
E1048,Q2,76.3,79.2,7,4.6,Needs Improvement
E1048,Q3,67.1,82.2,7,9.7,Needs Improvement
E1048,Q4,78.5,79.9,6,9.1,Needs Improvement
E1049,Q1,73.3,75.7,4,11.2,Needs Improvement
E1049,Q2,79.0,80.2,7,9.7,Needs Improvement
E1049,Q3,78.3,80.1,7,8.9,Needs Improvement
E1049,Q4,64.9,73.9,7,6.6,Needs Improvement
E1050,Q1,84.7,81.9,8,8.0,Met
E1050,Q2,83.8,82.3,5,5.3,Met
E1050,Q3,87.1,79.0,6,3.3,Met
E1050,Q4,95.9,71.0,5,7.9,Met
E1051,Q1,86.5,74.2,5,9.5,Met
E1051,Q2,77.1,84.9,9,8.3,Needs Improvement
E1051,Q3,83.9,77.3,4,4.0,Met
E1051,Q4,85.4,80.7,6,12.6,Met
E1052,Q1,67.3,81.5,6,6.9,Needs Improvement
E1052,Q2,69.1,76.8,9,9.0,Needs Improvement
E1052,Q3,66.8,81.1,5,9.2,Needs Improvement
E1052,Q4,77.0,68.9,4,6.8,Met
E1053,Q1,75.7,75.3,3,8.2,Met
E1053,Q2,73.3,81.0,3,8.5,Needs Improvement
E1053,Q3,67.4,76.4,6,9.2,Needs Improvement
E1053,Q4,60.7,79.7,6,11.7,Needs Improvement
E1054,Q1,69.4,76.4,5,6.1,Needs Improvement
E1054,Q2,73.8,82.3,7,8.9,Needs Improvement
E1054,Q3,65.3,85.1,5,7.5,Needs Improvement
E1054,Q4,63.4,78.8,6,7.6,Needs Improvement
E1055,Q1,55.3,83.5,5,6.2,Needs Improvement
E1055,Q2,55.5,79.4,3,8.8,Needs Improvement
E1055,Q3,57.9,83.2,2,7.5,Needs Improvement
E1055,Q4,52.4,83.1,6,9.8,Needs Improvement
E1056,Q1,55.3,84.6,6,3.8,Needs Improvement
E1056,Q2,47.9,78.3,5,14.3,Needs Improvement
E1056,Q3,50.7,81.0,5,7.1,Needs Improvement
E1056,Q4,71.6,78.3,7,7.1,Needs Improvement
E1057,Q1,66.1,82.9,8,3.2,Needs Improvement
E1057,Q2,58.8,80.8,5,9.2,Needs Improvement
E1057,Q3,66.4,75.4,6,4.1,Needs Improvement
E1057,Q4,66.9,82.0,4,11.1,Needs Improvement
E1058,Q1,62.3,79.5,7,9.4,Needs Improvement
E1058,Q2,71.2,81.3,6,3.3,Needs Improvement
E1058,Q3,66.9,78.2,4,13.4,Needs Improvement
E1058,Q4,78.8,79.9,5,6.8,Needs Improvement
E1059,Q1,69.4,75.0,4,8.8,Needs Improvement
E1059,Q2,80.9,84.0,6,10.3,Needs Improvement
E1059,Q3,70.9,77.1,5,11.1,Needs Improvement
E1059,Q4,84.8,89.8,6,6.2,Needs Improvement
E1060,Q1,60.2,76.4,6,11.3,Needs Improvement
E1060,Q2,60.7,75.9,5,9.1,Needs Improvement
E1060,Q3,72.7,72.3,7,10.1,Met
E1060,Q4,72.2,86.1,6,6.2,Needs Improvement
